  Iters          DeltaV        Position            Conc           Phi_1           i_rxn
    ###           Volts              cm           mol/L           Volts           A/cm2
     62     0.00000E+00     4.62475E-01     1.00000E+00     3.00000E+00    -0.00000E+00
     62     0.00000E+00     4.67475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     4.77475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     4.87475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     4.97475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     5.07475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     5.17475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     5.27475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     5.37475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     5.47475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     5.57475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     5.67475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     5.77475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     5.87475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     5.97475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     6.07475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     6.17475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     6.27475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     6.37475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     6.47475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     6.57475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     6.67475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     6.77475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     6.87475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     6.97475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     7.07475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     7.17475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     7.27475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     7.37475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     7.47475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     7.57475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     7.67475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     7.77475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     7.87475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     7.97475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     8.07475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     8.17475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     8.27475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     8.37475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     8.47475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     8.57475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     8.67475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     8.77475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     8.87475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     8.97475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     9.07475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     9.17475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     9.27475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     9.37475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     9.47475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     9.57475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     9.67475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     9.77475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     9.87475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     9.97475E-01     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.00748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.01748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.02748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.03748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.04748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.05748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.06748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.07748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.08748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.09748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.10748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.11748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.12748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.13748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.14748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.15748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.16748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.17748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.18748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.19748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.20748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.21748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.22748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.23748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.24748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.25748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.26748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.27748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.28748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.29748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.30748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.31748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.32748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.33748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.34748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.35748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.36748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.37748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.38748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.39748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.40748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.41748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.42748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.43748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.44748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.45748E+00     1.00000E+00     0.00000E+00    -0.00000E+00
     62     0.00000E+00     1.46248E+00     1.00000E+00     3.00000E+00    -0.00000E+00
      3     1.00000E-02     4.62475E-01     1.00003E+00     3.00909E+00     3.43163E-07
      3     1.00000E-02     4.67475E-01     1.00001E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     4.77475E-01     1.00000E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     4.87475E-01     1.00000E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     4.97475E-01     1.00000E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     5.07475E-01     1.00000E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     5.17475E-01     1.00000E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     5.27475E-01     1.00000E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     5.37475E-01     1.00000E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     5.47475E-01     1.00000E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     5.57475E-01     1.00000E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     5.67475E-01     1.00000E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     5.77475E-01     1.00000E+00     0.00000E+00     3.43163E-07
      3     1.00000E-02     5.87475E-01     1.00000E+00     0.00000E+00     3.43163E-07
